Service;Unit;Contact;Audience;Phase;URL;Latitude;Longitude;Office;Description;Description_EN;Description_DE;Description_IT
IC-Cluster;IC-IT;support-icit@epfl.ch;Researchers;Processing & Analysis;https://portal.iccluster.epfl.ch;46.51828897;6.563846282;INJ 037;Infrastructure de calcul pour simulations et traitement de données. Elle permet d’exécuter des tâches intensives sur des clusters. Elle est utilisée pour des besoins de calcul avancés.;Computing infrastructure for simulations and data processing. It enables execution of intensive tasks on clusters. It is used for advanced computing needs.;Recheninfrastruktur für Simulationen und Datenverarbeitung. Sie ermöglicht die Ausführung rechenintensiver Aufgaben auf Clustern. Sie wird für anspruchsvolle Rechenanforderungen genutzt.;Infrastruttura di calcolo per simulazioni ed elaborazione dati. Consente di eseguire attività intensive su cluster. Viene utilizzata per esigenze di calcolo avanzate.
Imaging Plaza;SDSC;imaging_repository_contact@groupes.epfl.ch;Researchers;Publication & Sharing;https://imaging-plaza.epfl.ch/;46.51881514;6.562325086;INN 218;Plateforme de partage de données d’imagerie. Elle permet de publier et rendre accessibles des jeux de données. Elle est utilisée pour diffuser des données d’imagerie de manière structurée.;Imaging data sharing platform. It enables publication and accessibility of datasets. It is used to disseminate imaging data in a structured way.;Plattform für den Austausch von Bilddaten. Sie ermöglicht die Veröffentlichung und Bereitstellung von Datensätzen. Sie wird genutzt, um Bilddaten strukturiert zu verbreiten.;Piattaforma di condivisione di dati di imaging. Consente di pubblicare e rendere accessibili set di dati. Viene utilizzata per diffondere dati di imaging in modo strutturato.
Infoscience;Library;infoscience@epfl.ch;Researchers;Publication & Sharing;https://infoscience.epfl.ch;46.51866692;6.569234569;RLC D1 220;Répertoire institutionnel des publications de l’EPFL. Il permet d’archiver et de diffuser des articles scientifiques et d'autres productions de recherche. Il est utilisé pour assurer la visibilité des productions de recherche.;EPFL institutional repository for publications. It enables archiving and dissemination of scientific articles and other research outputs. It is used to ensure visibility of research outputs.;Institutsverzeichnis der Veröffentlichungen der EPFL. Es ermöglicht die Archivierung und Verbreitung wissenschaftlicher Artikel und anderer Forschungsergebnisse. Es wird genutzt, um die Sichtbarkeit der Forschungsergebnisse zu gewährleisten.;Repertorio istituzionale delle pubblicazioni dell’EPFL. Consente di archiviare e diffondere articoli scientifici e altre produzioni di ricerca. Viene utilizzato per garantire la visibilità delle produzioni di ricerca.
Interdisciplinary Centre for Electron Microscopy;CIME;cime@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/cime/cime-3/;46.5196093;6.56402816;MXC 132;Plateforme de microscopie électronique. Elle permet d’obtenir des images à très haute résolution. Elle est utilisée pour analyser des structures à l’échelle nanométrique.;Electron microscopy platform. It enables acquisition of very high-resolution images. It is used to analyze structures at the nanometric scale.;Plattform für Elektronenmikroskopie. Sie ermöglicht die Erzeugung von Bildern mit sehr hoher Auflösung. Sie wird zur Analyse von Strukturen im Nanobereich genutzt.;Piattaforma di microscopia elettronica. Consente di ottenere immagini ad altissima risoluzione. Viene utilizzata per analizzare strutture su scala nanometrica.
JupyterHub;CEDE;noto-support@groupes.epfl.ch;Students;Processing & Analysis;https://noto.epfl.ch;46.5203652;6.568675664;CE 0 94.1;Environnement en ligne pour notebooks interactifs. Il permet d’exécuter du code et d’analyser des données via une interface web. Il est utilisé pour l’analyse de données et l’enseignement.;Online environment for interactive notebooks. It enables code execution and data analysis through a web interface. It is used for data analysis and teaching.;Online-Umgebung für interaktive Notebooks. Sie ermöglicht die Ausführung von Code und die Analyse von Daten über eine Webschnittstelle. Sie wird für die Datenanalyse und die Lehre genutzt.;Ambiente online per notebook interattivi. Consente di eseguire codice e analizzare dati tramite un'interfaccia web. Viene utilizzato per l'analisi dei dati e l'insegnamento.
Laptop encryption;STI-IT;help.sti@epfl.ch;STI Researchers;Use & Store;https://www.epfl.ch/schools/sti/it/encryption/;46.51943784;6.564430449;ELA 103;Service de chiffrement des ordinateurs portables. Il permet de protéger les données contre les accès non autorisés. Il est utilisé pour sécuriser les appareils contenant des données sensibles.;Laptop encryption service. It protects data against unauthorized access. It is used to secure devices containing sensitive data.;Verschlüsselungsdienst für Laptops. Er schützt Daten vor unbefugtem Zugriff. Er wird zur Sicherung von Geräten mit sensiblen Daten genutzt.;Servizio di crittografia per computer portatili. Consente di proteggere i dati da accessi non autorizzati. Viene utilizzato per proteggere i dispositivi contenenti dati sensibili.
Living Archives;ENAC;livingarchives@epfl.ch;Researchers;Discover & Reuse;https://livingarchives.epfl.ch/;46.52082108;6.565460319;GC D1 398;Plateforme de données pour l’environnement bâti. Elle permet de collecter, documenter et partager des jeux de données. Elle est utilisée pour des recherches en architecture et urbanisme.;Data platform for the built environment. It enables collection, documentation, and sharing of datasets. It is used for research in architecture and urban planning.;Datenplattform für die gebaute Umwelt. Sie ermöglicht das Sammeln, Dokumentieren und Teilen von Datensätzen. Sie wird für Forschungen in den Bereichen Architektur und Stadtplanung genutzt.;Piattaforma di dati per l'ambiente costruito. Consente di raccogliere, documentare e condividere set di dati. Viene utilizzata per la ricerca in architettura e urbanistica.
M365;DSI;support@epfl.ch;Researchers;Use & Store;https://support.epfl.ch/epfl?id=epfl_kb_article_view&sysparm_article=KB0017390;46.52014;6.567684;MA A0 388;Suite collaborative de productivité. Elle permet d’accéder à des outils de communication, de stockage et de collaboration. Elle est utilisée pour le travail quotidien et la collaboration.;Collaborative productivity suite. It provides access to communication, storage, and collaboration tools. It is used for daily work and collaboration.;Kollaborative Produktivitätssuite. Sie bietet Zugriff auf Tools für Kommunikation, Speicherung und Zusammenarbeit. Sie wird für die tägliche Arbeit und die Zusammenarbeit genutzt.;Suite collaborativa di produttività. Consente di accedere a strumenti di comunicazione, archiviazione e collaborazione. Viene utilizzata per il lavoro quotidiano e la collaborazione.
Maple;DSI;support@epfl.ch;Students;Processing & Analysis;https://distrilog-etudiants.epfl.ch;46.52014;6.567684;MA A0 388;Logiciel de calcul mathématique symbolique. Il permet de manipuler des équations et modèles complexes. Il est utilisé pour l’enseignement et la recherche en mathématiques.;Symbolic mathematical computation software. It enables manipulation of equations and complex models. It is used for teaching and research in mathematics.;Software für symbolische Mathematik. Sie ermöglicht die Bearbeitung komplexer Gleichungen und Modelle. Sie wird für Lehre und Forschung in der Mathematik eingesetzt.;Software di calcolo matematico simbolico. Consente di manipolare equazioni e modelli complessi. Viene utilizzato per l'insegnamento e la ricerca in matematica.
Mass Spectrometry & Elemental Analysis;ISIC-MSEAP;laure.menin@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/schools/sb/research/isic/platforms/mass-spectrometry-elemental-analysis/;46.51949581;6.572841255;BCH 1526;Plateforme d’analyse élémentaire par spectrométrie de masse. Elle permet de déterminer la composition chimique d’échantillons. Elle est utilisée pour des analyses précises en chimie.;Elemental analysis platform using mass spectrometry. It enables determination of the chemical composition of samples. It is used for precise analyses in chemistry.;Plattform für elementare Analysen mittels Massenspektrometrie. Sie ermöglicht die Bestimmung der chemischen Zusammensetzung von Proben. Sie wird für präzise Analysen in der Chemie eingesetzt.;Piattaforma di analisi elementare mediante spettrometria di massa. Consente di determinare la composizione chimica dei campioni. Viene utilizzata per analisi precise in chimica.
Materials Cloud;NCCR-MARVEL;archive@materialscloud.org;Researchers;Publication & Sharing;https://www.materialscloud.org/dmp;46.51934017;6.566802859;MED 2 1726;Plateforme de partage de données en science des matériaux. Elle permet de publier et d’archiver des jeux de données. Elle est utilisée pour favoriser la reproductibilité et l’accès ouvert.;Materials science data sharing platform. It enables publication and archiving of datasets. It is used to promote reproducibility and open access.;Plattform für den Datenaustausch in der Materialwissenschaft. Sie ermöglicht die Veröffentlichung und Archivierung von Datensätzen. Sie wird eingesetzt, um die Reproduzierbarkeit und den offenen Zugang zu fördern.;Piattaforma di condivisione dei dati nella scienza dei materiali. Consente di pubblicare e archiviare set di dati. Viene utilizzata per favorire la riproducibilità e l'accesso aperto.
Mathematica;DSI;support@epfl.ch;Students;Processing & Analysis;https://distrilog-etudiants.epfl.ch;46.52014;6.567684;MA A0 388;Logiciel de calcul scientifique et symbolique. Il permet de modéliser, simuler et visualiser des données. Il est utilisé dans de nombreux domaines scientifiques.;Scientific and symbolic computation software. It enables modeling, simulation, and visualization of data. It is used across many scientific fields.;Software für wissenschaftliche und symbolische Berechnungen. Sie ermöglicht die Modellierung, Simulation und Visualisierung von Daten. Sie wird in vielen wissenschaftlichen Bereichen eingesetzt.;Software di calcolo scientifico e simbolico. Permette di modellare, simulare e visualizzare i dati. Viene utilizzato in numerosi ambiti scientifici.
Matlab;DSI;support@epfl.ch;Students;Processing & Analysis;https://distrilog-etudiants.epfl.ch;46.52014;6.567684;MA A0 388;Environnement de calcul numérique. Il permet de développer des algorithmes et analyser des données. Il est utilisé pour la modélisation et les simulations.;Numerical computing environment. It enables development of algorithms and analysis of data. It is used for modeling and simulations.;Umgebung für numerische Berechnungen. Sie ermöglicht die Entwicklung von Algorithmen und die Analyse von Daten. Sie wird für Modellierungen und Simulationen genutzt.;Ambiente di calcolo numerico. Permette di sviluppare algoritmi e analizzare i dati. Viene utilizzato per la modellizzazione e le simulazioni.
Molecular and Hybrid Materials Characterization Center;MHMC;helin.findik@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/domains/mhmc/;46.51972142;6.563220127;MXD 115;Plateforme de caractérisation des matériaux. Elle permet d’analyser les propriétés physiques et chimiques. Elle est utilisée pour étudier des matériaux avancés.;Materials characterization platform. It enables analysis of physical and chemical properties. It is used to study advanced materials.;Plattform zur Materialcharakterisierung. Sie ermöglicht die Analyse physikalischer und chemischer Eigenschaften. Sie wird zur Untersuchung fortschrittlicher Materialien genutzt.;Piattaforma di caratterizzazione dei materiali. Consente di analizzare le proprietà fisiche e chimiche. Viene utilizzata per studiare materiali avanzati.
MyNAS;DSI;support@epfl.ch;Researchers;Use & Store;https://mynas.epfl.ch;46.52014;6.567684;MA A0 388;Service de stockage réseau pour la recherche. Il permet de stocker et partager des fichiers de manière sécurisée. Il est utilisé pour centraliser les données d’un projet.;Network storage service for research. It enables secure storage and sharing of files. It is used to centralize project data.;Netzwerkspeicherdienst für die Forschung. Er ermöglicht die sichere Speicherung und gemeinsame Nutzung von Dateien. Er wird zur Zentralisierung der Daten eines Projekts genutzt.;Servizio di archiviazione in rete per la ricerca. Consente di archiviare e condividere file in modo sicuro. Viene utilizzato per centralizzare i dati di un progetto.
NanoFab-net;LPQM;tobias.kippenberg@epfl.ch;Researchers;Discover & Reuse;https://nanofab-net.org/;46.52075917;6.570035465;PH D3 354;Réseau de ressources en nanofabrication. Il permet d’accéder à des équipements et expertises spécialisés. Il est utilisé pour des projets en nanotechnologie.;Network of nanofabrication resources. It provides access to specialized equipment and expertise. It is used for nanotechnology projects.;Ressourcennetzwerk für die Nanofabrikation. Es ermöglicht den Zugang zu spezialisierten Geräten und Fachkenntnissen. Es wird für Projekte in der Nanotechnologie genutzt.;
Noto;RCP;supportrcp@epfl.ch;Researchers;Use & Store;https://www.epfl.ch/research/facilities/rcp/gnoto/;46.518676;6.563925;INF 139;;;;
Nuclear Magnetic Resonance;ISIC-NMRP;aurelien.bornet@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/schools/sb/research/isic/platforms/nuclear_magnetic_resonance/;46.51951844;6.573239425;BCH 1538;Plateforme d’analyse par résonance magnétique nucléaire. Elle permet d’étudier la structure des molécules. Elle est utilisée pour des analyses en chimie et biologie.;Nuclear magnetic resonance analysis platform. It enables study of molecular structures. It is used for analyses in chemistry and biology.;Plattform für die Kernspinresonanzanalyse. Sie ermöglicht die Untersuchung der Molekülstruktur. Sie wird für Analysen in der Chemie und Biologie eingesetzt.;Piattaforma di analisi mediante risonanza magnetica nucleare. Consente di studiare la struttura delle molecole. Viene utilizzata per analisi in ambito chimico e biologico.
OMERO;PTBIOP;omero@groupes.epfl.ch;Researchers;Use & Store;https://www.epfl.ch/research/facilities/ptbiop/ptbiop/data-management-omero/;46.5204187;6.563042165;AI 0241;Système de gestion de données d’imagerie. Il permet de stocker, organiser et partager des images. Il est utilisé pour gérer des données d’imagerie de recherche.;Imaging data management system. It enables storage, organization, and sharing of images. It is used to manage research imaging data.;Bilddatenverwaltungssystem. Es ermöglicht das Speichern, Organisieren und Teilen von Bildern. Es wird zur Verwaltung von Bilddaten aus der Forschung verwendet.;Sistema di gestione dei dati di imaging. Consente di archiviare, organizzare e condividere immagini. Viene utilizzato per gestire i dati di imaging nella ricerca.
OneDrive;DSI;support@epfl.ch;Researchers;Use & Store;https://www.microsoft.com/fr-fr/microsoft-365/onedrive/online-cloud-storage;46.52014;6.567684;MA A0 388;Service de stockage cloud. Il permet de sauvegarder et synchroniser des fichiers. Il est utilisé pour accéder aux documents depuis différents appareils.;Cloud storage service. It enables backup and synchronization of files. It is used to access documents from different devices.;Cloud-Speicherdienst. Er ermöglicht das Speichern und Synchronisieren von Dateien. Er wird verwendet, um von verschiedenen Geräten aus auf Dokumente zuzugreifen.;Servizio di archiviazione cloud. Consente di salvare e sincronizzare i file. Viene utilizzato per accedere ai documenti da diversi dispositivi.
ORCID;Library;publishsupport@epfl.ch;Researchers;Discover & Reuse;https://orcid-integration.epfl.ch/;46.51866692;6.569234569;RLC D1 220;Système d’identifiant unique pour chercheurs. Il permet de lier les publications à un profil. Il est utilisé pour assurer une identification fiable des contributions scientifiques.;Unique identifier system for researchers. It enables linking publications to a profile. It is used to ensure reliable identification of scientific contributions.;Eindeutiges Identifikationssystem für Forscher. Es ermöglicht die Verknüpfung von Publikationen mit einem Profil. Es wird verwendet, um eine zuverlässige Identifizierung wissenschaftlicher Beiträge zu gewährleisten.;Sistema di identificativo unico per i ricercatori. Consente di collegare le pubblicazioni a un profilo. Viene utilizzato per garantire un'identificazione affidabile dei contributi scientifici.
Pangea;BICC;fabrice.david@epfl.ch;Researchers;Publication & Sharing;;46.520697;6.563381;AAB 1 19;;;;
PIXE Platform;PL-PIXE;albert.taureg@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/schools/enac/pixe/;46.52116528;6.566433804;GC B3 484;Plateforme d’analyse élémentaire par rayons X. Elle permet de déterminer la composition des matériaux. Elle est utilisée pour des analyses en sciences des matériaux.;X-ray elemental analysis platform. It enables determination of material composition. It is used for analyses in materials science.;Plattform für die Röntgenelementaranalyse. Sie ermöglicht die Bestimmung der Zusammensetzung von Materialien. Sie wird für Analysen in der Materialwissenschaft eingesetzt.;Piattaforma di analisi elementare a raggi X. Consente di determinare la composizione dei materiali. Viene utilizzata per analisi nel campo delle scienze dei materiali.
PPMS;SV-IT;helpdesk.sv@epfl.ch;Researchers;Planning & Design;https://sv-ppms.epfl.ch/;46.520704;6.563421;AAB 1 94.1;Système de gestion de ressources scientifiques. Il permet de réserver des équipements et suivre leur utilisation. Il est utilisé pour organiser les activités expérimentales.;Scientific resource management system. It enables reservation of equipment and tracking of usage. It is used to organize experimental activities.;System zur Verwaltung wissenschaftlicher Ressourcen. Es ermöglicht die Reservierung von Geräten und die Nachverfolgung ihrer Nutzung. Es wird zur Organisation experimenteller Aktivitäten eingesetzt.;Sistema di gestione delle risorse scientifiche. Consente di prenotare le attrezzature e monitorarne l'utilizzo. Viene utilizzato per organizzare le attività sperimentali.
Protein Production and Structure Core Facility;PTPSP;florence.pojer@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/ptpsp/;46.52051124;6.562756379;AI 2147;Plateforme de production et analyse de protéines. Elle permet d’exprimer, purifier et étudier des protéines. Elle est utilisée pour des recherches en biologie structurale.;Protein production and analysis platform. It enables expression, purification, and study of proteins. It is used for structural biology research.;Plattform zur Herstellung und Analyse von Proteinen. Sie ermöglicht die Expression, Reinigung und Untersuchung von Proteinen. Sie wird für Forschungen in der Strukturbiologie genutzt.;Piattaforma di produzione e analisi delle proteine. Consente di esprimere, purificare e studiare le proteine. Viene utilizzata per la ricerca in biologia strutturale.
Proteomics Core Facility;PCF;pcf@epfl.ch;Researchers;Data Collection;https://www.epfl.ch/research/facilities/proteomics-core-facility/;46.52050783;6.562683001;AI 0149;Plateforme d’analyse protéomique. Elle permet d’identifier et quantifier des protéines. Elle est utilisée pour étudier les systèmes biologiques à grande échelle.;Proteomics analysis platform. It enables identification and quantification of proteins. It is used to study biological systems at large scale.;Plattform für proteomische Analysen. Sie ermöglicht die Identifizierung und Quantifizierung von Proteinen. Sie wird zur Untersuchung biologischer Systeme in großem Maßstab genutzt.;Piattaforma di analisi proteomica. Permette di identificare e quantificare le proteine. Viene utilizzata per studiare i sistemi biologici su larga scala.
RCP - AI Inference As A Service;RCP;supportrcp@epfl.ch;Researchers;Use & Store;https://www.epfl.ch/research/facilities/rcp/ai-inference-as-a-service/;46.518676;6.563925;INF 139;Service d’inférence en intelligence artificielle. Il permet d’exécuter des modèles sur des données. Il est utilisé pour intégrer l’IA dans des projets de recherche.;Artificial intelligence inference service. It enables execution of models on data. It is used to integrate AI into research projects.;Dienst für Inferenz in der künstlichen Intelligenz. Er ermöglicht die Ausführung von Modellen auf Daten. Er wird zur Integration von KI in Forschungsprojekte genutzt.;Servizio di inferenza nell'intelligenza artificiale. Permette di eseguire modelli sui dati. Viene utilizzato per integrare l'IA nei progetti di ricerca.
RCP - Datasets Sharing Services;RCP;supportrcp@epfl.ch;Researchers;Publication & Sharing;https://datasets.epfl.ch/;46.518676;6.563925;INF 139;Service de partage de données de recherche. Il permet de publier et rendre accessibles des jeux de données. Il est utilisé pour diffuser des résultats de manière structurée.;Research data sharing service. It enables publication and accessibility of datasets. It is used to disseminate results in a structured way.;Dienst zum Austausch von Forschungsdaten. Er ermöglicht die Veröffentlichung und Bereitstellung von Datensätzen. Er wird genutzt, um Ergebnisse strukturiert zu verbreiten.;Servizio di condivisione dei dati di ricerca. Consente di pubblicare e rendere accessibili set di dati. Viene utilizzato per diffondere i risultati in modo strutturato.
RCP - File Transfer Service;RCP;supportrcp@epfl.ch;Researchers;Publication & Sharing;https://www.epfl.ch/research/facilities/rcp/file-transfer-service/;46.518676;6.563925;INF 139;Service de transfert de fichiers volumineux. Il permet d’envoyer des données de manière sécurisée. Il est utilisé pour partager des fichiers avec des collaborateurs.;Large file transfer service. It enables secure transmission of data. It is used to share files with collaborators.;Dienst für den Transfer großer Dateien. Er ermöglicht den sicheren Versand von Daten. Er wird genutzt, um Dateien mit Mitarbeitern zu teilen.;Servizio di trasferimento di file di grandi dimensioni. Consente di inviare dati in modo sicuro. Viene utilizzato per condividere file con i collaboratori.
RCP - GPU Cluster;RCP;supportrcp@epfl.ch;Researchers;Processing & Analysis;https://www.epfl.ch/research/facilities/rcp/rcp-cluster-service-description/;46.518676;6.563925;INF 139;Infrastructure de calcul GPU. Elle permet d’exécuter des calculs intensifs et parallèles. Elle est utilisée pour le machine learning et les simulations.;GPU computing infrastructure. It enables intensive and parallel computations. It is used for machine learning and simulations.;GPU-Recheninfrastruktur. Sie ermöglicht die Ausführung rechenintensiver und paralleler Berechnungen. Sie wird für maschinelles Lernen und Simulationen genutzt.;Infrastruttura di calcolo GPU. Consente di eseguire calcoli intensivi e paralleli. Viene utilizzata per il machine learning e le simulazioni.
RCP - Hardware As A Service;RCP;supportrcp@epfl.ch;Researchers;Processing & Analysis;https://www.epfl.ch/research/facilities/rcp/hardware-as-a-service-general-usage-server-resources/;46.518676;6.563925;INF 139;Service de mise à disposition de ressources matérielles. Il permet d’accéder à des serveurs et capacités de calcul. Il est utilisé pour adapter les ressources aux besoins d’un projet.;Service providing hardware resources. It enables access to servers and computing capacities. It is used to adapt resources to project needs.;Dienst zur Bereitstellung von Hardware-Ressourcen. Er ermöglicht den Zugriff auf Server und Rechenkapazitäten. Er wird genutzt, um Ressourcen an die Anforderungen eines Projekts anzupassen.;Servizio di messa a disposizione di risorse hardware. Permette di accedere a server e capacità di calcolo. Viene utilizzato per adattare le risorse alle esigenze di un progetto.
RCP - Storage for Research (NAS-RCP);RCP;supportrcp@epfl.ch;Researchers;Use & Store;https://www.epfl.ch/research/facilities/rcp/rcp-storage-for-research/;46.518676;6.563925;INF 139;Service de stockage réseau pour la recherche. Il permet de stocker et partager des données de projet. Il est utilisé pour centraliser les fichiers de recherche.;Network storage service for research. It enables storage and sharing of project data. It is used to centralize research files.;Netzwerkspeicherdienst für die Forschung. Er ermöglicht die Speicherung und gemeinsame Nutzung von Projektdaten. Er wird genutzt, um Forschungsdateien zu zentralisieren.;Servizio di archiviazione in rete per la ricerca. Permette di archiviare e condividere i dati di progetto. Viene utilizzato per centralizzare i file di ricerca.
RedCap;SV-IT;helpdesk.sv@epfl.ch;Researchers;Data Collection;https://redcap.epfl.ch/;46.520704;6.563421;AAB 1 94.1;Outil de collecte de données. Il permet de créer des formulaires et gérer des bases de données. Il est utilisé pour des études cliniques et enquêtes.;Data collection tool. It enables creation of forms and management of databases. It is used for clinical studies and surveys.;Tool zur Datenerfassung. Es ermöglicht die Erstellung von Formularen und die Verwaltung von Datenbanken. Er wird für klinische Studien und Erhebungen genutzt.;Strumento di raccolta dati. Permette di creare moduli e gestire database. Viene utilizzato per studi clinici e indagini.
Renku;SDSC;hello@renku.io;Researchers;Processing & Analysis;https://renkulab.io/;46.51881514;6.562325086;INN 218;Plateforme collaborative pour science reproductible. Elle permet de versionner code et données. Elle est utilisée pour structurer et documenter des projets de recherche.;Collaborative platform for reproducible science. It enables versioning of code and data. It is used to structure and document research projects.;Kollaborative Plattform für reproduzierbare Wissenschaft. Sie ermöglicht die Versionierung von Code und Daten. Sie wird zur Strukturierung und Dokumentation von Forschungsprojekten genutzt.;Piattaforma collaborativa per la scienza riproducibile. Consente di gestire le versioni di codice e dati. Viene utilizzata per strutturare e documentare i progetti di ricerca.
Research Data Management;Library;researchdata@epfl.ch;Researchers;All;https://go.epfl.ch/rdm;46.51866692;6.569234569;RLC D1 220;Service de support en gestion des données. Il permet d’accompagner les chercheurs tout au long du cycle de vie des données. Il est utilisé pour appliquer les bonnes pratiques RDM.;Data management support service. It supports researchers throughout the data lifecycle. It is used to implement RDM best practices.;Supportdienst für das Datenmanagement. Er unterstützt Forscher während des gesamten Datenlebenszyklus. Er wird zur Umsetzung bewährter RDM-Praktiken genutzt.;Servizio di supporto alla gestione dei dati. Permette di accompagnare i ricercatori durante tutto il ciclo di vita dei dati. Viene utilizzato per applicare le buone pratiche di gestione dei dati di ricerca (RDM).
Research Office;ReO;research@epfl.ch;Researchers;Planning & Design;https://www.epfl.ch/research/funding/research-office/;46.51998961;6.56871481;BI A2 443;Service de soutien aux projets de recherche. Il permet d’accompagner les demandes de financement. Il est utilisé pour structurer et gérer des projets scientifiques.;Research project support service. It supports funding applications. It is used to structure and manage scientific projects.;Unterstützungsdienst für Forschungsprojekte. Er bietet Unterstützung bei Förderanträgen. Er wird zur Strukturierung und Verwaltung wissenschaftlicher Projekte genutzt.;Servizio di supporto ai progetti di ricerca. Permette di fornire assistenza nelle richieste di finanziamento. Viene utilizzato per strutturare e gestire progetti scientifici.
Scala Center;SCALA;martin.odersky@epfl.ch;Researchers;Processing & Analysis;https://scala.epfl.ch/;46.51827543;6.562352694;INR 319;Centre dédié au langage Scala. Il permet de développer et promouvoir des outils logiciels. Il est utilisé pour des projets impliquant ce langage.;Center dedicated to the Scala programming language. It develops and promotes software tools. It is used for projects involving this language.;Zentrum für die Programmiersprache Scala. Es ermöglicht die Entwicklung und Förderung von Software-Tools. Es wird für Projekte genutzt, die diese Sprache beinhalten.;Centro dedicato al linguaggio Scala. Permette di sviluppare e promuovere strumenti software. Viene utilizzato per progetti che coinvolgono questo linguaggio.
SCITAS clusters;SCITAS;support@epfl.ch;Researchers;Processing & Analysis;https://scitas-doc.epfl.ch/supercomputers/overview/;46.519949;6.566748;ME B2 94.4;Infrastructure de calcul haute performance. Elle permet d’exécuter des simulations complexes. Elle est utilisée pour des besoins de calcul intensif.;High-performance computing infrastructure. It enables execution of complex simulations. It is used for intensive computing needs.;Hochleistungsrechnerinfrastruktur. Sie ermöglicht die Durchführung komplexer Simulationen. Sie wird für rechenintensive Anforderungen genutzt.;Infrastruttura di calcolo ad alte prestazioni. Consente di eseguire simulazioni complesse. Viene utilizzata per esigenze di calcolo intensivo.
SCITAS File Systems - /archive;SCITAS;support@epfl.ch;Researchers;Archiving;https://scitas-doc.epfl.ch/storage/archive_fs/;46.519949;6.566748;ME B2 94.4;Système de stockage dédié à l’archivage des données de recherche. Il permet de conserver des données à long terme dans un environnement sécurisé et fiable. Il est utilisé lorsque les données doivent être préservées après la fin d’un projet ou pour répondre à des obligations de conservation.;Storage system dedicated to research data archiving. It enables long-term preservation of data in a secure and reliable environment. It is used when data must be preserved after the end of a project or to meet retention obligations.;Speichersystem für die Archivierung von Forschungsdaten. Es ermöglicht die langfristige Aufbewahrung von Daten in einer sicheren und zuverlässigen Umgebung. Es wird genutzt, wenn Daten nach Projektende aufbewahrt werden müssen oder um Aufbewahrungspflichten nachzukommen.;Sistema di archiviazione dedicato all'archiviazione dei dati di ricerca. Consente di conservare i dati a lungo termine in un ambiente sicuro e affidabile. Viene utilizzato quando i dati devono essere conservati dopo la conclusione di un progetto o per soddisfare obblighi di conservazione.
SCITAS File Systems - /export;SCITAS;support@epfl.ch;Researchers;Use & Store;https://scitas-doc.epfl.ch/storage/export_fs/;46.519949;6.566748;ME B2 94.4;Espace de stockage partagé pour les données de travail. Il permet de rendre des fichiers accessibles entre utilisateurs et systèmes. Il est utilisé pour faciliter les échanges de données dans les environnements de calcul.;Shared storage space for working data. It enables files to be accessible across users and systems. It is used to facilitate data exchange in computing environments.;Gemeinsamer Speicherplatz für Arbeitsdaten. Er ermöglicht den Zugriff auf Dateien zwischen Benutzern und Systemen. Er wird verwendet, um den Datenaustausch in Rechenumgebungen zu erleichtern.;Spazio di archiviazione condiviso per i dati di lavoro. Consente di rendere i file accessibili tra utenti e sistemi. Viene utilizzato per facilitare lo scambio di dati negli ambienti di calcolo.
SCITAS File Systems - /home;SCITAS;support@epfl.ch;Researchers;Use & Store;https://scitas-doc.epfl.ch/storage/home_fs/;46.519949;6.566748;ME B2 94.4;Espace de stockage personnel pour utilisateurs HPC. Il permet de conserver des fichiers individuels de manière sécurisée. Il est utilisé pour stocker des données personnelles liées aux activités de calcul.;Personal storage space for HPC users. It enables secure storage of individual files. It is used to store personal data related to computing activities.;Persönlicher Speicherplatz für HPC-Benutzer. Er ermöglicht die sichere Aufbewahrung individueller Dateien. Er wird verwendet, um personenbezogene Daten im Zusammenhang mit Rechenaktivitäten zu speichern.;Spazio di archiviazione personale per gli utenti HPC. Consente di conservare i file individuali in modo sicuro. Viene utilizzato per archiviare dati personali legati alle attività di calcolo.
SCITAS File Systems - /scratch;SCITAS;support@epfl.ch;Researchers;Use & Store;https://scitas-doc.epfl.ch/storage/scratch_fs/;46.519949;6.566748;ME B2 94.4;Espace de stockage temporaire à haute performance. Il permet de manipuler des données intermédiaires lors des calculs. Il est utilisé pour des traitements intensifs nécessitant un accès rapide aux données.;Temporary high-performance storage space. It enables handling of intermediate data during computations. It is used for intensive processing requiring rapid data access.;Hochleistungsfähiger temporärer Speicherplatz. Er ermöglicht die Bearbeitung von Zwischendaten während der Berechnungen. Er wird für rechenintensive Prozesse genutzt, die einen schnellen Zugriff auf die Daten erfordern.;Spazio di archiviazione temporaneo ad alte prestazioni. Consente di manipolare dati intermedi durante i calcoli. Viene utilizzato per elaborazioni intensive che richiedono un accesso rapido ai dati.
